Uhrzeit,Sekunde,Formel,Temperatur,Luftfeuchte,Luftdruck
18:01:52,0,0,26.47,36.02,976.28
18:02:13,21,21,26.46,35.98,976.26
18:02:33,41,41,26.43,36.44,976.28
18:03:33,101,101,26.35,38.94,976.32
18:04:39,167,167,25.47,37.4,976.22
18:05:00,188,188,25.44,37.67,976.26
18:05:20,208,208,25.37,37.51,976.24
18:05:41,229,229,25.35,37.45,976.26
18:06:22,270,270,25.37,37.32,976.28
18:06:43,291,291,25.39,37.26,976.3
18:07:03,311,311,25.42,37.3,976.28
18:07:24,332,332,25.44,37.22,976.32
18:07:44,352,352,25.48,37.15,976.3
18:08:05,373,373,25.52,37.08,976.28
18:08:26,394,394,25.57,37,976.3
18:08:46,414,414,25.61,36.92,976.3
18:09:27,455,455,25.66,36.83,976.3
18:09:48,476,476,25.69,36.75,976.3
18:10:08,496,496,25.74,36.62,976.34
18:10:28,516,516,25.81,36.5,976.32
18:10:49,537,537,25.88,36.37,976.34
18:11:10,558,558,25.95,36.24,976.34
18:11:30,578,578,26.02,36.13,976.32
18:11:51,599,599,26.1,35.98,976.34
18:12:11,619,619,26.16,35.85,976.32
18:12:32,640,640,26.23,35.76,976.3
18:12:52,660,660,26.28,35.71,976.3
18:13:13,681,681,26.33,35.6,976.28
18:13:33,701,701,26.38,35.51,976.28
18:13:54,722,722,26.43,35.43,976.28
18:14:14,742,742,26.47,35.34,976.28
18:14:35,763,763,26.51,35.27,976.28
18:14:55,783,783,26.55,35.19,976.28
18:15:15,803,803,26.58,35.11,976.28
18:15:36,824,824,26.61,35.05,976.28
18:15:57,845,845,26.64,34.99,976.28
18:16:17,865,865,26.67,34.94,976.3
18:16:38,886,886,26.71,34.83,976.3
18:16:58,906,906,26.75,34.78,976.28
18:17:19,927,927,26.78,34.72,976.28
18:17:39,947,947,26.8,34.67,976.28
18:18:00,968,968,26.8,34.69,976.26
18:18:20,988,988,26.78,34.72,976.26
18:18:41,1009,1009,26.75,34.78,976.28
18:19:01,1029,1029,26.72,34.82,976.24
18:19:22,1050,1050,26.68,34.87,976.2
18:19:42,1070,1070,26.65,34.91,976.18
18:20:03,1091,1091,26.61,34.97,976.2
18:20:24,1112,1112,26.58,35.01,976.18
18:20:44,1132,1132,26.56,35.03,976.18
18:21:05,1153,1153,26.53,35.06,976.16
18:21:25,1173,1173,26.51,35.1,976.16
18:21:46,1194,1194,26.49,35.12,976.14
18:22:06,1214,1214,26.48,35.14,976.16
18:22:27,1235,1235,26.47,35.14,976.16
18:22:48,1256,1256,26.46,35.16,976.16
18:23:08,1276,1276,26.45,35.18,976.14
18:23:29,1297,1297,26.44,35.16,976.14
18:23:49,1317,1317,26.44,35.17,976.14
18:24:10,1338,1338,26.44,35.17,976.14
18:24:30,1358,1358,26.44,35.15,976.16
18:24:51,1379,1379,26.44,35.19,976.16
18:25:11,1399,1399,26.44,35.17,976.16
18:25:32,1420,1420,26.46,35.13,976.14
18:25:53,1441,1441,26.49,35.1,976.18
18:26:13,1461,1461,26.51,35.03,976.18
18:26:34,1482,1482,26.51,35.03,976.18
18:26:54,1502,1502,26.52,35.05,976.16
18:27:15,1523,1523,26.53,35,976.16
18:27:36,1544,1544,26.54,35.01,976.16
18:27:56,1564,1564,26.53,35,976.14
18:28:17,1585,1585,26.52,35.03,976.16
