Uhrzeit,Sekunden,Formel,Temperatur,Luftfeuchte,Luftdruck
11:06:15,0,0,18.83,40.32,975.75
11:06:36,21,21,18.93,38.82,975.75
11:06:56,41,41,19.13,39.29,975.75
11:07:17,62,62,19.37,38.87,975.75
11:07:37,82,82,19.6,38.52,975.79
11:07:58,103,103,19.81,38.11,975.79
11:08:18,123,123,19.99,37.53,975.79
11:08:39,144,144,20.17,37.02,975.81
11:08:59,164,164,20.32,36.74,975.83
11:09:30,195,195,20.59,36.28,975.81
11:09:50,215,215,20.66,35.92,975.81
11:10:11,236,236,20.76,35.76,975.81
11:10:31,256,256,20.85,35.47,975.81
11:10:52,277,277,20.95,35.23,975.83
11:11:17,302,302,21.27,36.9,975.81
11:11:38,323,323,21.3,35.54,975.81
11:14:02,467,467,21.53,34.57,975.81
11:14:22,487,487,21.53,34.72,975.79
11:14:43,508,508,21.54,34.83,975.79
11:15:32,557,557,21.95,36.03,975.81
11:16:07,592,592,22.66,36.14,975.81
11:16:27,612,612,22.55,38.18,975.85
11:17:08,653,653,22.65,38.28,975.89
11:22:29,974,974,19.88,37.1,975.75
11:56:13,2998,2998,19.61,39.34,975.79
11:56:34,3019,3019,19.67,39.7,975.77
11:56:55,3040,3040,19.81,48.22,975.81
11:57:15,3060,3060,19.98,52.57,975.87
11:57:56,3101,3101,20.15,52.6,975.93
11:58:17,3122,3122,20.18,54.65,975.93
11:58:37,3142,3142,20.19,57.73,975.95
11:58:58,3163,3163,20.2,53.99,975.95
11:59:18,3183,3183,20.3,53.44,975.95
11:59:39,3204,3204,20.45,51.8,975.95
11:59:59,3224,3224,20.63,49.32,975.95
12:00:20,3245,3245,20.82,49.94,975.95
12:00:40,3265,3265,20.99,47.52,975.97
12:01:01,3286,3286,21.14,48.6,975.93
12:01:21,3306,3306,21.25,50.14,975.93
12:01:42,3327,3327,21.35,49.57,975.93
12:02:02,3347,3347,21.45,46.96,975.91
12:02:23,3368,3368,21.56,45.94,975.89
12:02:43,3388,3388,21.65,46.16,975.91
12:03:04,3409,3409,21.69,47.18,975.87
12:03:25,3430,3430,21.7,47.71,975.87
12:03:45,3450,3450,21.72,45.15,975.87
12:04:06,3471,3471,21.73,49.32,975.87
12:04:26,3491,3491,21.7,50.65,975.87
12:04:47,3512,3512,21.68,49.49,975.89
12:05:08,3533,3533,21.68,47.85,975.87
12:05:28,3553,3553,21.71,48.56,975.85
12:05:49,3574,3574,21.74,47.88,975.85
12:06:09,3594,3594,21.77,46.4,975.83
12:06:30,3615,3615,21.82,46.33,975.85
12:06:50,3635,3635,21.85,49.41,975.85
12:07:11,3656,3656,21.83,51.58,975.83
12:07:32,3677,3677,21.79,51.5,975.85
12:07:52,3697,3697,21.74,49.74,975.85
12:08:13,3718,3718,21.68,52.68,975.87
12:08:33,3738,3738,21.62,51.56,975.83
12:08:54,3759,3759,21.58,52.85,975.83
12:09:14,3779,3779,21.54,52.36,975.83
12:09:35,3800,3800,21.53,48.29,975.83
12:09:56,3821,3821,21.59,46.03,975.85
12:10:16,3841,3841,21.66,47.8,975.83
12:10:37,3862,3862,21.7,48.59,975.81
12:10:57,3882,3882,21.75,40.4,975.77
12:11:18,3903,3903,21.83,38.53,975.77
12:11:39,3924,3924,21.93,36.69,975.73
12:11:59,3944,3944,22.01,38.51,975.77
12:12:20,3965,3965,22.08,43.17,975.79
12:12:40,3985,3985,22.1,45.82,975.77
12:13:01,4006,4006,22.09,46.27,975.79
12:13:21,4026,4026,22.02,53.67,975.77
12:13:42,4047,4047,21.93,45.99,975.81
12:14:03,4068,4068,21.92,46.95,975.79
12:14:23,4088,4088,21.92,49.82,975.81
